2026-09-02 00:47:13,367 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 00:47:13,377 | INFO | SQLite baza inicializirana.
2026-09-02 01:43:30,005 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 01:43:30,006 | INFO | SQLite baza inicializirana.
2026-09-02 01:52:22,654 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 01:52:22,655 | INFO | SQLite baza inicializirana.
2026-09-02 01:56:03,129 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 01:56:03,130 | INFO | SQLite baza inicializirana.
2026-09-02 02:02:44,311 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 02:02:44,312 | INFO | SQLite baza inicializirana.
2026-09-02 02:09:35,964 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 02:09:35,966 | INFO | SQLite baza inicializirana.
2026-09-02 02:16:50,815 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 02:16:50,816 | INFO | SQLite baza inicializirana.
2026-09-02 02:36:01,929 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 02:36:01,931 | INFO | SQLite baza inicializirana.
2026-09-02 02:42:06,248 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 02:42:06,249 | INFO | SQLite baza inicializirana.
2026-09-02 03:01:21,783 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 03:01:21,784 | INFO | SQLite baza inicializirana.
2026-09-02 03:08:07,818 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 03:08:07,819 | INFO | SQLite baza inicializirana.
2026-09-02 03:13:45,869 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 03:13:45,870 | INFO | SQLite baza inicializirana.
2026-09-02 03:51:07,500 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 03:51:07,507 | INFO | SQLite baza inicializirana.
2026-09-02 09:44:14,798 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 09:44:14,800 | INFO | SQLite baza inicializirana.
2026-09-02 10:51:42,007 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 10:51:42,009 | INFO | SQLite baza inicializirana.
2026-09-02 11:36:28,137 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 11:36:28,138 | INFO | SQLite baza inicializirana.
2026-09-02 15:29:41,885 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 15:29:41,887 | INFO | SQLite baza inicializirana.
2026-09-02 15:51:22,234 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 15:51:22,236 | INFO | SQLite baza inicializirana.
2026-09-02 17:01:03,303 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 17:01:03,317 | INFO | SQLite baza inicializirana.
2026-09-02 17:57:04,763 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 17:57:04,765 | INFO | SQLite baza inicializirana.
2026-09-02 19:21:32,688 | INFO | JU-TAN Office Enterprise se je zagnal.
2026-09-02 19:21:32,689 | INFO | SQLite baza inicializirana.
